vehicle_id,mode,raw_data_kb,compressed_kb,compression_time_ms,distance_m,irs_gain_db,snr_db,datarate_mbps,mac_delay_ms,tx_delay_ms,prop_delay_ms,processing_delay_ms,handover_delay_ms,total_latency_ms,energy_consumption_mj,packet_success
32,raw,1000.0,1000.0,0.0,151.88265934236063,0.0,21.552795913577327,143.39477587537436,57.22599894707279,57.12899894707279,0.000506275531141202,3.0,0.0,117.35550416967672,11.39873386909911,True
3,raw,1000.0,1000.0,0.0,250.0,0.0,20.001663375628425,133.17517148614098,61.64896753428629,61.51296753428629,0.0008333333333333333,3.0,0.0,126.16276840190591,12.273450600306555,True
33,raw,1000.0,1000.0,0.0,250.0,0.0,21.349898861717975,142.05634004724362,57.72526073102819,57.66726073102819,0.0008333333333333333,3.0,0.0,118.39335479538971,11.506131214410523,True
15,raw,1000.0,1000.0,0.0,250.0,0.0,18.798293023636575,125.27118624112862,98.2366921465117,65.39412809767447,0.0008333333333333333,3.0,0.0,166.6316535775195,13.047843941353735,True
18,raw,1000.0,1000.0,0.0,250.0,0.0,20.526128070816753,136.627135584936,60.016806608423245,59.958806608423245,0.0008333333333333333,3.0,0.0,122.97644655017982,11.963354727629387,True
39,raw,1000.0,1000.0,0.0,124.96118493492318,0.0,28.52040066468716,189.5259782143945,43.294626001988455,43.22362600198846,0.0004165372831164106,3.0,0.0,89.51866854126003,8.62424720780765,True
34,raw,1000.0,1000.0,0.0,250.0,0.0,20.57088595730012,136.92190260038052,59.887726613638456,59.82972661363846,0.0008333333333333333,3.0,0.0,122.71828656061024,11.93759988270834,True
0,raw,1000.0,1000.0,0.0,250.0,0.0,24.64404325064794,163.8303473356071,50.086945932957455,50.00294593295745,0.0008333333333333333,3.0,0.0,103.09072519924824,9.976899365745638,True
19,raw,1000.0,1000.0,0.0,249.85565275329145,0.0,18.7566193833608,124.99793350155004,98.45112518737656,65.53708345825105,0.0008328521758443049,3.0,0.0,166.98904149780344,13.076367285721858,True
37,raw,1000.0,1000.0,0.0,193.03610165005284,0.0,19.470188998276996,129.68128409895027,63.28025665592026,63.17025665592026,0.0006434536721668428,3.0,0.0,129.45115676551268,12.604123253246968,True
1,raw,1000.0,1000.0,0.0,198.46286268749444,0.0,19.22937473800299,128.09972104942065,64.04717828992415,63.950178289924146,0.0006615428756249815,3.0,0.0,130.99801812272392,12.759738077742659,True
20,raw,1000.0,1000.0,0.0,250.0,0.0,22.912807747518173,152.3765683733407,53.84554672238469,53.761546722384686,0.0008333333333333333,3.0,0.0,110.60792677810271,10.72683881696128,True
11,raw,1000.0,1000.0,0.0,250.0,0.0,23.144682021147602,153.90947475500613,53.349092890252955,53.22609289025296,0.0008333333333333333,3.0,0.0,109.57601911383924,10.620001731695469,True
7,raw,1000.0,1000.0,0.0,250.0,0.0,25.714570970495828,170.921209034278,47.98651657372203,47.92851657372203,0.0008333333333333333,3.0,0.0,98.9158664807774,9.562996293190889,True
4,raw,1000.0,1000.0,0.0,91.36225643408305,0.0,30.70416539970708,204.01858402641298,40.23720486166807,40.153204861668065,0.00030454085478027684,3.0,50.0,133.39071426419093,8.011617648571146,True
43,raw,1000.0,1000.0,0.0,166.57066864949235,0.0,27.84493106875574,185.04507145358815,44.39329553205186,44.27029553205186,0.0005552355621649746,3.0,50.0,141.66414629966587,8.833085234763821,True
23,raw,1000.0,1000.0,0.0,250.0,0.0,17.224159593716365,114.97647342716823,71.33335872371505,71.24935872371505,0.0008333333333333333,3.0,0.0,145.58355078076343,14.216116042712775,True
20,raw,1000.0,1000.0,0.0,250.0,0.0,24.087520669422062,160.1463819710969,51.224200585439924,51.153200585439926,0.0008333333333333333,3.0,0.0,105.37823450421318,10.206405341817227,True
2,raw,1000.0,1000.0,0.0,226.88261328970398,0.0,25.173139532542294,167.33426394482234,49.09190303430786,48.95590303430786,0.0007562753776323467,3.0,0.0,101.04856234399335,9.767986841962506,True
16,raw,1000.0,1000.0,0.0,100.25259816885959,0.0,30.736754877797523,204.23492056488868,40.246672442018905,40.1106724420189,0.00033417532722953197,3.0,0.0,83.35767905936504,8.003131315162104,True
34,raw,1000.0,1000.0,0.0,250.0,0.0,31.006163401465805,206.02336852822265,39.87247965714529,39.76247965714529,0.0008333333333333333,3.0,0.0,82.63579264762392,7.933657720961866,True
45,raw,1000.0,1000.0,0.0,250.0,0.0,17.509656505913753,116.83911418357886,70.21050657048497,70.11350657048497,0.0008333333333333333,3.0,0.0,143.32484647430329,13.989483743041154,True
21,raw,1000.0,1000.0,0.0,250.0,0.0,28.680505870675987,190.5882279356493,43.092717708913106,42.98271770891311,0.0008333333333333333,3.0,0.0,89.07626875115955,8.576179683953978,True
48,raw,1000.0,1000.0,0.0,250.0,0.0,25.391954776890955,168.78374555993815,48.64547936635209,48.53547936635209,0.0008333333333333333,3.0,0.0,100.18179206603752,9.684101291863193,True
38,raw,1000.0,1000.0,0.0,250.0,0.0,17.224159593716365,114.97647342716823,71.37235872371505,71.24935872371505,0.0008333333333333333,3.0,0.0,145.62255078076345,14.216116042712775,True
15,raw,1000.0,1000.0,0.0,250.0,0.0,17.224159593716365,114.97647342716823,71.33335872371505,71.24935872371505,0.0008333333333333333,3.0,0.0,145.58355078076343,14.216116042712775,True
36,raw,1000.0,1000.0,0.0,218.21125084038505,0.0,25.652855297294494,170.51228375807722,48.114459505960326,48.04345950596033,0.0007273708361346168,3.0,0.0,99.15864638275679,9.585930423297599,True
